N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
8000	91	67	71.8	59	17.7	10.3	73.2927658659299	81.7120622568093	251	1029	189	0.87888198757764	0.444444444444444	2500	77.1772151898734	64.7737003058104	13.0221428571429	BUSCO
1500	89.5	68.4	70.9	59.9	16.3	10.1	72.9525447229649	81.712962962963	232	933	213	0.895962732919255	0.333333333333333	2500	77.5402153261558	64.9374617737003	12.4719696969697	BUSCO
5000	90.6	67.3	71.6	59.4	17	10	73.1220998518769	81.6053511705686	241	1010	191	0.886645962732919	0.388888888888889	2500	77.2309056364788	64.9319083969466	12.5925925925926	BUSCO
3000	90.6	67.7	71.2	59.5	16.6	10	72.9713221286867	81.7011015509399	236	971	205	0.888198757763975	0.333333333333333	2500	77.4936197094125	64.8263198163734	12.4812030075188	BUSCO
4000	90.9	67	71.4	59	17	9.9	72.7752095841453	81.291034334302	241	1036	200	0.891304347826087	0.333333333333333	2500	77.1412286257125	64.6104294478528	12.5130111524164	BUSCO
1000	87.6	68.9	70.5	59.9	16.9	10.7	72.448150860155	81.9843342036554	240	910	231	0.891304347826087	0.388888888888889	2500	77.1327795527157	64.7691717791411	13.1036231884058	BUSCO
7000	90.9	67.1	71.9	59.3	17	10	73.1976086853767	81.712962962963	242	1014	189	0.889751552795031	0.444444444444444	2500	77.2074683544304	64.9949695121951	12.5925925925926	BUSCO
6000	91	67.4	71.8	59.7	17.2	10.3	73.6855393312168	83.0729166666667	244	993	190	0.892857142857143	0.388888888888889	2500	77.4419191919192	65.1933079847909	12.8843636363636	BUSCO
2000	90.6	68.1	71	59.5	16.5	10.2	73.060066821363	82	236	936	202	0.891304347826087	0.5	2500	77.7550094517958	64.7432950191571	12.6067415730337	BUSCO
200	82.2	69.4	61.4	56.2	12.2	8.4	69.7845915479309	77.2124417995978	173	773	286	0.815217391304348	0.277777777777778	2500	75.2596306068602	58.6850340136055	9.9495145631068	BUSCO
500	87.7	69.8	69.1	60	15.6	9.8	72.4289162801496	81.0312554162574	222	893	220	0.87111801242236	0.277777777777778	2500	77.7328253968254	64.2292796281952	12.0377952755906	BUSCO
5000	90.9	57.3	68.8	50.4	14.3	6.6	67.6202906417402	73.3705772811918	203	1598	183	0.866459627329193	0.333333333333333	5000	70.2910931174089	58.1798657718121	9.03157894736842	BUSCO
1000	91.9	62	67.7	54	14.2	7.2	70.2493355079997	77.3232783013065	202	1371	190	0.833850931677019	0.555555555555556	5000	74.0454840805718	60.0788824979458	9.55514018691589	BUSCO
1500	92.1	59.1	67.9	51.7	13.9	6.6	68.727629930904	75	198	1525	170	0.846273291925466	0.388888888888889	5000	71.9988095238095	58.7028428093645	8.95024390243902	BUSCO
4000	91.4	57.9	68.8	50.8	13.9	6.5	68.1327170801922	74.6423664233719	198	1596	176	0.866459627329193	0.388888888888889	5000	70.8916275954454	58.4454849498328	8.8578431372549	BUSCO
200	87.5	67.1	60.2	55.2	11.3	6.8	70.1892032733299	78.0798817251496	160	986	234	0.787267080745342	0.333333333333333	5000	75.9540750323415	57.5916811091854	8.49060773480663	BUSCO
6000	91.1	57.2	68.6	50.2	14.2	6.5	67.2907949952982	73.1305683563748	201	1631	178	0.858695652173913	0.388888888888889	5000	70.2753877275792	57.9750841750842	8.91787439613527	BUSCO
7000	91.1	56.9	68.8	50	14.4	6.5	67.4402478984499	73.6111111111111	205	1671	179	0.857142857142857	0.444444444444444	5000	70.0485135135135	57.9124579124579	8.95693779904306	BUSCO
2000	92.1	58.8	68	51.4	14	6.5	68.9222167373739	75.4438649727855	199	1571	180	0.852484472049689	0.444444444444444	5000	71.775745526839	58.5460636515913	8.87804878048781	BUSCO
500	90.3	65.2	65.3	55.8	13	7.1	71.33554561688	79.2792792792793	185	1203	196	0.81832298136646	0.555555555555556	5000	75.7242443729904	60.1773740710157	9.18407960199005	BUSCO
800	91.8	63.3	67.6	54.9	13.9	7.2	70.788628017768	78.0551605640479	197	1323	182	0.826086956521739	0.5	5000	74.9315280464217	60.5916734693878	9.48625592417062	BUSCO
8000	91.3	57.4	69	50.4	14.4	6.6	67.7481704868897	73.7434132961189	205	1641	184	0.858695652173913	0.388888888888889	5000	70.4858103564223	58.251256281407	9.05142857142857	BUSCO
3000	91.8	58.4	68.6	51.3	14.6	6.8	68.8585881739292	75.4438649727855	208	1569	171	0.858695652173913	0.388888888888889	5000	71.3864181091878	58.701918265221	9.2785046728972	BUSCO
1000	91.1	60.8	67.6	52.6	14.4	7.3	69.2536641539695	76.1690609707433	205	1346	188	0.847826086956522	0.444444444444444	5000	72.9279789335089	59.1640599001664	9.68847926267281	BUSCO
4000	91.5	57.5	68.8	50.3	14.6	6.8	68.0728212934539	74.3241048956726	207	1604	190	0.864906832298137	0.5	5000	70.6208053691275	58.1131821998321	9.2785046728972	BUSCO
5000	91.5	57.2	68.9	50.1	14.3	6.4	68.1856681843063	73.8852009340553	203	1681	177	0.87111801242236	0.388888888888889	5000	70.3940820443847	58.0149579831933	8.84251207729469	BUSCO
6000	91.3	57.1	68.8	50.1	14.1	6.4	67.6600140519555	73.4959349593496	200	1658	181	0.866459627329193	0.277777777777778	5000	70.2591644204852	57.9794785534062	8.80390243902439	BUSCO
800	91.3	61.5	66.8	52.9	13.1	6.8	69.9737622626195	76.8541394420212	186	1291	188	0.854037267080745	0.388888888888889	5000	73.494109947644	59.0429406850459	8.95276381909548	BUSCO
2000	90.9	58.8	68.1	51.3	13.8	6.6	68.523470667983	75.1700680272109	196	1509	185	0.861801242236025	0.333333333333333	5000	71.4084168336673	58.5180904522613	8.92941176470588	BUSCO
7000	91.2	56.9	68.7	49.9	14.2	6.4	67.2863069873479	73.3439424867497	201	1669	184	0.861801242236025	0.333333333333333	5000	70.0780553679946	57.8099494097808	8.82330097087378	BUSCO
500	90.7	63.5	66.3	54.4	12.7	6.9	70.5388381906598	77.9788838612368	181	1223	203	0.83695652173913	0.444444444444444	5000	74.701037613489	59.7633802816901	8.94183673469388	BUSCO
8000	91.3	57.4	69	50.4	14.4	6.6	67.7481704868897	73.7434132961189	205	1641	184	0.858695652173913	0.388888888888889	5000	70.4858103564223	58.251256281407	9.05142857142857	BUSCO
200	85.6	60.5	58.8	49.1	9.4	5.1	65.4509014790511	69.5956928078017	134	1289	268	0.799689440993789	0.222222222222222	5000	70.8939082819986	53.5139944392956	6.61241379310345	BUSCO
3000	91.4	58.9	69.1	51.6	14.2	6.8	68.9452571625847	75.365533394847	202	1504	180	0.875776397515528	0.444444444444444	5000	71.6361942781104	59.0813587406794	9.19619047619048	BUSCO
1500	90.9	60.5	68.3	52.6	14.5	7.3	69.4695132159329	76.4199655765921	206	1379	197	0.87111801242236	0.388888888888889	5000	72.6479524438573	59.4306038047974	9.71100917431193	BUSCO
4000	90.8	57.4	68.3	50.1	14.1	6.5	67.7215466518951	73.7434132961189	200	1622	189	0.863354037267081	0.444444444444444	5000	70.336302294197	57.8011824324324	8.89805825242718	BUSCO
6000	91.1	57.7	68.9	50.6	14.4	6.6	68.2190528979415	74.2700729927007	204	1602	177	0.863354037267081	0.444444444444444	5000	70.6514784946237	58.3487866108787	9.05142857142857	BUSCO
200	83	58.2	60.2	47.3	9.4	4.9	63.627096986801	67.9578620772567	134	1375	268	0.790372670807453	0.222222222222222	5000	68.4220963172805	52.976	6.44195804195804	BUSCO
7000	91.2	57.5	68.9	50.5	14	6.5	67.9056799067242	74.1539555575156	199	1608	177	0.863354037267081	0.333333333333333	5000	70.5312710154674	58.2822445561139	8.87804878048781	BUSCO
500	87.7	60.1	67.1	51.4	13.1	6.5	68.0291997253271	73.4957267626453	186	1450	215	0.854037267080745	0.222222222222222	5000	71.3230040595399	58.2099578059072	8.68877551020408	BUSCO
1000	87.5	58.5	67.8	50.6	13.4	6.6	67.7086618447483	73.3951751884079	190	1496	221	0.874223602484472	0.277777777777778	5000	70.1198630136986	57.9506756756757	8.844	BUSCO
1500	89.4	57.9	67.8	50.3	13.5	6.4	67.750167807584	73.8872403560831	192	1555	205	0.869565217391304	0.333333333333333	5000	70.2818737270876	57.7534292972058	8.68341708542714	BUSCO
800	87.1	59.5	67.3	51	12.7	6.4	67.2728669796816	72.9847494553377	181	1427	227	0.863354037267081	0.222222222222222	5000	70.7019099590723	58.0270498732037	8.51099476439791	BUSCO
